fold,n_train_windows,n_val_windows
speaker-10_emotion-amusement,45752,882
speaker-10_emotion-joy,45850,784
speaker-11_emotion-neutral,45864,770
speaker-12_emotion-neutral,45752,882
speaker-13_emotion-inspiration,45766,868
speaker-14_emotion-neutral,45850,784
speaker-15_emotion-tenderness,45850,784
speaker-16_emotion-neutral,45850,784
speaker-18_emotion-anger,45752,882
speaker-19_emotion-anger,45850,784
speaker-1_emotion-fear,45752,882
speaker-1_emotion-tenderness,45850,784
speaker-25_emotion-inspiration,45850,784
speaker-26_emotion-neutral,45752,882
speaker-27_emotion-joy,45752,882
speaker-28_emotion-joy,45850,784
speaker-28_emotion-sadness,45752,882
speaker-29_emotion-disgust,45752,882
speaker-2_emotion-anger,45850,784
speaker-30_emotion-tenderness,45752,882
speaker-31_emotion-disgust,44968,1666
speaker-32_emotion-tenderness,45850,784
speaker-33_emotion-fear,45738,896
speaker-34_emotion-disgust,45850,784
speaker-36_emotion-inspiration,44968,1666
speaker-38_emotion-sadness,44968,1666
speaker-39_emotion-amusement,45850,784
speaker-3_emotion-inspiration,44968,1666
speaker-40_emotion-fear,45850,784
speaker-40_emotion-joy,45752,882
speaker-42_emotion-fear,45850,784
speaker-42_emotion-neutral,45752,882
speaker-43_emotion-amusement,45850,784
speaker-44_emotion-amusement,45752,882
speaker-46_emotion-anger,45850,784
speaker-46_emotion-disgust,45752,882
speaker-48_emotion-tenderness,45752,882
speaker-49_emotion-amusement,45752,882
speaker-4_emotion-sadness,45850,784
speaker-50_emotion-amusement,45850,784
speaker-51_emotion-sadness,45752,882
speaker-52_emotion-sadness,45850,784
speaker-53_emotion-disgust,45850,784
speaker-53_emotion-joy,45766,868
speaker-5_emotion-fear,45752,882
speaker-5_emotion-neutral,45850,784
speaker-6_emotion-neutral,45752,882
speaker-7_emotion-anger,45738,896
speaker-8_emotion-anger,45752,882
speaker-8_emotion-fear,45850,784
speaker-9_emotion-joy,45850,784
speaker-9_emotion-tenderness,45752,882
