subject,stimulus_version,video_id,trial_idx,speaker_id,emotion,material_key,window_idx,pair_key,t_start,t_end,eeg_start_sample,eeg_n_samples,eeg_fs,speech_dim,speech_source,source_key
002,v1,1,0,2,anger,speaker-2_emotion-anger,0,speaker-2_emotion-anger_win-00000,0.0,4.0,0,1000,250.0,512,existing-whisper,v1:video-01
002,v1,1,0,2,anger,speaker-2_emotion-anger,1,speaker-2_emotion-anger_win-00001,2.0,6.0,500,1000,250.0,512,existing-whisper,v1:video-01
002,v1,1,0,2,anger,speaker-2_emotion-anger,2,speaker-2_emotion-anger_win-00002,4.0,8.0,1000,1000,250.0,512,existing-whisper,v1:video-01
002,v1,1,0,2,anger,speaker-2_emotion-anger,3,speaker-2_emotion-anger_win-00003,6.0,10.0,1500,1000,250.0,512,existing-whisper,v1:video-01
002,v1,1,0,2,anger,speaker-2_emotion-anger,4,speaker-2_emotion-anger_win-00004,8.0,12.0,2000,1000,250.0,512,existing-whisper,v1:video-01
002,v1,1,0,2,anger,speaker-2_emotion-anger,5,speaker-2_emotion-anger_win-00005,10.0,14.0,2500,1000,250.0,512,existing-whisper,v1:video-01
002,v1,1,0,2,anger,speaker-2_emotion-anger,6,speaker-2_emotion-anger_win-00006,12.0,16.0,3000,1000,250.0,512,existing-whisper,v1:video-01
002,v1,1,0,2,anger,speaker-2_emotion-anger,7,speaker-2_emotion-anger_win-00007,14.0,18.0,3500,1000,250.0,512,existing-whisper,v1:video-01
002,v1,1,0,2,anger,speaker-2_emotion-anger,8,speaker-2_emotion-anger_win-00008,16.0,20.0,4000,1000,250.0,512,existing-whisper,v1:video-01
002,v1,1,0,2,anger,speaker-2_emotion-anger,9,speaker-2_emotion-anger_win-00009,18.0,22.0,4500,1000,250.0,512,existing-whisper,v1:video-01
002,v1,1,0,2,anger,speaker-2_emotion-anger,10,speaker-2_emotion-anger_win-00010,20.0,24.0,5000,1000,250.0,512,existing-whisper,v1:video-01
002,v1,1,0,2,anger,speaker-2_emotion-anger,11,speaker-2_emotion-anger_win-00011,22.0,26.0,5500,1000,250.0,512,existing-whisper,v1:video-01
002,v1,1,0,2,anger,speaker-2_emotion-anger,12,speaker-2_emotion-anger_win-00012,24.0,28.0,6000,1000,250.0,512,existing-whisper,v1:video-01
002,v1,1,0,2,anger,speaker-2_emotion-anger,13,speaker-2_emotion-anger_win-00013,26.0,30.0,6500,1000,250.0,512,existing-whisper,v1:video-01
002,v1,2,1,19,anger,speaker-19_emotion-anger,0,speaker-19_emotion-anger_win-00000,0.0,4.0,0,1000,250.0,512,existing-whisper,v1:video-02
002,v1,2,1,19,anger,speaker-19_emotion-anger,1,speaker-19_emotion-anger_win-00001,2.0,6.0,500,1000,250.0,512,existing-whisper,v1:video-02
002,v1,2,1,19,anger,speaker-19_emotion-anger,2,speaker-19_emotion-anger_win-00002,4.0,8.0,1000,1000,250.0,512,existing-whisper,v1:video-02
002,v1,2,1,19,anger,speaker-19_emotion-anger,3,speaker-19_emotion-anger_win-00003,6.0,10.0,1500,1000,250.0,512,existing-whisper,v1:video-02
002,v1,2,1,19,anger,speaker-19_emotion-anger,4,speaker-19_emotion-anger_win-00004,8.0,12.0,2000,1000,250.0,512,existing-whisper,v1:video-02
002,v1,2,1,19,anger,speaker-19_emotion-anger,5,speaker-19_emotion-anger_win-00005,10.0,14.0,2500,1000,250.0,512,existing-whisper,v1:video-02
002,v1,2,1,19,anger,speaker-19_emotion-anger,6,speaker-19_emotion-anger_win-00006,12.0,16.0,3000,1000,250.0,512,existing-whisper,v1:video-02
002,v1,2,1,19,anger,speaker-19_emotion-anger,7,speaker-19_emotion-anger_win-00007,14.0,18.0,3500,1000,250.0,512,existing-whisper,v1:video-02
002,v1,2,1,19,anger,speaker-19_emotion-anger,8,speaker-19_emotion-anger_win-00008,16.0,20.0,4000,1000,250.0,512,existing-whisper,v1:video-02
002,v1,2,1,19,anger,speaker-19_emotion-anger,9,speaker-19_emotion-anger_win-00009,18.0,22.0,4500,1000,250.0,512,existing-whisper,v1:video-02
002,v1,2,1,19,anger,speaker-19_emotion-anger,10,speaker-19_emotion-anger_win-00010,20.0,24.0,5000,1000,250.0,512,existing-whisper,v1:video-02
002,v1,2,1,19,anger,speaker-19_emotion-anger,11,speaker-19_emotion-anger_win-00011,22.0,26.0,5500,1000,250.0,512,existing-whisper,v1:video-02
002,v1,2,1,19,anger,speaker-19_emotion-anger,12,speaker-19_emotion-anger_win-00012,24.0,28.0,6000,1000,250.0,512,existing-whisper,v1:video-02
002,v1,2,1,19,anger,speaker-19_emotion-anger,13,speaker-19_emotion-anger_win-00013,26.0,30.0,6500,1000,250.0,512,existing-whisper,v1:video-02
002,v1,3,2,46,anger,speaker-46_emotion-anger,0,speaker-46_emotion-anger_win-00000,0.0,4.0,0,1000,250.0,512,existing-whisper,v1:video-03
002,v1,3,2,46,anger,speaker-46_emotion-anger,1,speaker-46_emotion-anger_win-00001,2.0,6.0,500,1000,250.0,512,existing-whisper,v1:video-03
002,v1,3,2,46,anger,speaker-46_emotion-anger,2,speaker-46_emotion-anger_win-00002,4.0,8.0,1000,1000,250.0,512,existing-whisper,v1:video-03
002,v1,3,2,46,anger,speaker-46_emotion-anger,3,speaker-46_emotion-anger_win-00003,6.0,10.0,1500,1000,250.0,512,existing-whisper,v1:video-03
002,v1,3,2,46,anger,speaker-46_emotion-anger,4,speaker-46_emotion-anger_win-00004,8.0,12.0,2000,1000,250.0,512,existing-whisper,v1:video-03
002,v1,3,2,46,anger,speaker-46_emotion-anger,5,speaker-46_emotion-anger_win-00005,10.0,14.0,2500,1000,250.0,512,existing-whisper,v1:video-03
002,v1,3,2,46,anger,speaker-46_emotion-anger,6,speaker-46_emotion-anger_win-00006,12.0,16.0,3000,1000,250.0,512,existing-whisper,v1:video-03
002,v1,3,2,46,anger,speaker-46_emotion-anger,7,speaker-46_emotion-anger_win-00007,14.0,18.0,3500,1000,250.0,512,existing-whisper,v1:video-03
002,v1,3,2,46,anger,speaker-46_emotion-anger,8,speaker-46_emotion-anger_win-00008,16.0,20.0,4000,1000,250.0,512,existing-whisper,v1:video-03
002,v1,3,2,46,anger,speaker-46_emotion-anger,9,speaker-46_emotion-anger_win-00009,18.0,22.0,4500,1000,250.0,512,existing-whisper,v1:video-03
002,v1,3,2,46,anger,speaker-46_emotion-anger,10,speaker-46_emotion-anger_win-00010,20.0,24.0,5000,1000,250.0,512,existing-whisper,v1:video-03
